lb:kg conversion,0.454,,,,,,,,,,,,,,,,,,,,,
Date,sample ID,FW in bag (lb),FW (lb) ex bag,FW kg/m,AV sml_l (cm),AV sml_w (cm),AV lrg_l (cm),AV lrg_w (cm),AV all_l (cm),AV all_w (cm),SD sml_l (cm),SD sml_w (cm),SD lrg_l (cm),SD lrg_w (cm),SD all_l (cm),SD all_w (cm),# sml blades,# lrg blades,# all blades,fertility %,fouling %,epiphytes %
25/03/25,4-SW-1,2.6,2.35,2.1,8.3,1.9,58.0,4.4,37.4,3.3,2.3,0.6,15.5,1.5,27.6,1.7,12,17,29,0,0,0
25/03/25,4-NE-5,2.3,2.05,1.9,12.3,3.3,61.3,6.2,42,5,4,0.9,25.9,2.4,31,2.4,13,19,32,0,0,0
25/03/25,4-SW-3,3.1,2.85,2.6,15.5,2.2,53.2,5.5,41.5,4.5,6.8,0.5,16.1,1.5,22.5,2,9,20,29,0,0,0
25/03/25,1-SW-1,1.5,1.25,1.1,6.4,2.3,50.8,5,32.5,3.9,2.7,0.3,21.9,1.6,27.9,1.8,7,10,17,0,0,0
25/03/25,1-SW-3,1.8,1.55,1.4,16.1,3.2,39.0,5,31.4,4.4,4.2,1,13.3,1.9,15.6,1.8,11,21,33,0,0,0
25/03/25,1-NE-3,2.2,1.95,1.8,15.8,3.1,45.7,4.2,34.5,3.8,1.1,0.2,3,0.3,3.1,0.2,15,25,40,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
10/04/25,1-NE-2,2.4,2.15,2.0,,,,,,,,,,,,,,,,,,
10/04/25,1-SW-1,3.2,2.95,2.7,,,,,,,,,,,,,,,,,,
10/04/25,1-SW-3,4,3.75,3.4,,,,,,,,,,,,,,,,,,
10/04/25,4-SW-1,4.2,3.95,3.6,,,,,,,,,,,,,,,,,,
10/04/25,4-SW-3,2.8,2.55,2.3,,,,,,,,,,,,,,,,,,
10/04/25,4-NE-5,4.3,4.05,3.7,,,,,,,,,,,,,,,,,,